iter	RMSE
0	13.62127318
1	13.40315409
2	13.15874294
3	12.90907011
4	12.69653738
5	12.48981629
6	12.30030768
7	12.11964606
8	11.92036685
9	11.72531476
10	11.54154325
11	11.37868348
12	11.21836095
13	11.07158956
14	10.90424734
15	10.78971105
16	10.66281971
17	10.52278308
18	10.40184812
19	10.25489764
20	10.13218836
21	10.02097661
22	9.914610832
23	9.806404718
24	9.689514515
25	9.578079871
26	9.46275315
27	9.384655966
28	9.299416892
29	9.214611901
30	9.116178387
31	9.031893663
32	8.947367133
33	8.862197359
34	8.782100002
35	8.703037269
36	8.624330805
37	8.545883741
38	8.475267154
39	8.40551108
40	8.344521784
41	8.288291675
42	8.229643049
43	8.174073534
44	8.118015856
45	8.074746629
46	8.018080211
47	7.954178246
48	7.904029285
49	7.841194598
50	7.781864249
51	7.741429481
52	7.684924059
53	7.643330214
54	7.59570384
55	7.554712517
56	7.502757609
57	7.450368671
58	7.42183276
59	7.382025669
60	7.340911163
61	7.298466251
62	7.254592458
63	7.216842645
64	7.183903658
65	7.149400576
66	7.123581662
67	7.09522403
68	7.071060108
69	7.047785656
70	7.011626554
71	6.978389732
72	6.950549144
73	6.909733737
74	6.877477121
75	6.853815057
76	6.819282072
77	6.789701513
78	6.760528936
79	6.73234427
80	6.704500055
81	6.679471728
82	6.65052878
83	6.626260133
84	6.599806359
85	6.566681937
86	6.543478629
87	6.523191865
88	6.501724537
89	6.477218492
90	6.443676409
91	6.420483968
92	6.400825571
93	6.381894028
94	6.359001543
95	6.342586172
96	6.321783832
97	6.296456841
98	6.274419884
99	6.261247262
100	6.246133688
101	6.228624377
102	6.218717643
103	6.197518164
104	6.179867245
105	6.162066661
106	6.139374981
107	6.117028163
108	6.096837271
109	6.080558754
110	6.06828735
111	6.051485486
112	6.03515288
113	6.0161198
114	5.99550232
115	5.975328769
116	5.956416952
117	5.937559061
118	5.925734423
119	5.908334713
120	5.892215456
121	5.872929807
122	5.853844319
123	5.839059286
124	5.824164788
125	5.812570653
126	5.809776854
127	5.796668254
128	5.783801525
129	5.766733752
130	5.753834196
131	5.743317342
132	5.727800959
133	5.708614267
134	5.698620057
135	5.683687894
136	5.675606378
137	5.661639347
138	5.649722629
139	5.633923215
140	5.617317029
141	5.602385918
142	5.585696073
143	5.582457856
144	5.576644784
145	5.568693001
146	5.553413482
147	5.541893562
148	5.529800908
149	5.514906212
150	5.505171402
151	5.487804179
152	5.480619222
153	5.468396083
154	5.460156942
155	5.447267408
156	5.427899085
157	5.418081898
158	5.405773827
159	5.394112457
160	5.376454738
161	5.366602287
162	5.35570245
163	5.350784549
164	5.331799931
165	5.325139562
166	5.31057047
167	5.296848028
168	5.284708336
169	5.270919978
170	5.25926604
171	5.246451127
172	5.237481893
173	5.229305605
174	5.224117675
175	5.210766639
176	5.202699218
177	5.198061166
178	5.188888233
179	5.185947563
180	5.174898185
181	5.170042111
182	5.161079691
183	5.158850374
184	5.145111151
185	5.135790558
186	5.128890915
187	5.120833637
188	5.116550412
189	5.105056874
190	5.101592062
191	5.091182444
192	5.081390658
193	5.067278947
194	5.058743412
195	5.047384536
196	5.038862968
197	5.031205834
198	5.022849989
199	5.013241852
200	5.00528147
201	5.001232624
202	4.993688982
203	4.986262267
204	4.977378474
205	4.971274579
206	4.966007503
207	4.955880955
208	4.937984431
209	4.931318564
210	4.921329121
211	4.913570981
212	4.90839292
213	4.899459507
214	4.8935758
215	4.888793759
216	4.883289284
217	4.879409878
218	4.87017267
219	4.864092846
220	4.86043232
221	4.847011431
222	4.841660599
223	4.837669282
224	4.823046637
225	4.813249601
226	4.809576114
227	4.801316189
228	4.795827593
229	4.781079578
230	4.769008022
231	4.758717511
232	4.749833195
233	4.746420253
234	4.744111784
235	4.740771394
236	4.734630008
237	4.720109159
238	4.716707918
239	4.714354473
240	4.696223668
241	4.690537126
242	4.675978919
243	4.668961337
244	4.665528985
245	4.658883511
246	4.653750838
247	4.648114498
248	4.643159226
249	4.641009817
250	4.628305981
251	4.617597187
252	4.614471031
253	4.611620343
254	4.608330829
255	4.605579798
256	4.603689376
257	4.601672428
258	4.599218132
259	4.595658798
260	4.593067313
261	4.590294347
262	4.584894878
263	4.580318116
264	4.57805842
265	4.575506925
266	4.573614171
267	4.571955272
268	4.554662724
269	4.550599116
270	4.549277397
271	4.547070256
272	4.544953844
273	4.536839795
274	4.534294167
275	4.525591383
276	4.503992441
277	4.501475057
278	4.49439951
279	4.486886993
280	4.478824857
281	4.476793441
282	4.464537325
283	4.463477926
284	4.461897067
285	4.45103841
286	4.441974492
287	4.434364787
288	4.428507196
289	4.419356082
290	4.411058586
291	4.407208734
292	4.405698007
293	4.404142869
294	4.39305133
295	4.391466391
296	4.389331034
297	4.387869631
298	4.386388326
299	4.374636131
300	4.36839518
301	4.35618571
302	4.354810407
303	4.345441721
304	4.344035015
305	4.342128769
306	4.330990308
307	4.321226062
308	4.314333522
309	4.301580326
310	4.300231792
311	4.293664182
312	4.292540408
313	4.285117906
314	4.278033212
315	4.270715834
316	4.263719306
317	4.255484461
318	4.249830921
319	4.236844174
320	4.235298606
321	4.228824969
322	4.215332797
323	4.208025464
324	4.206857294
325	4.198575774
326	4.197312319
327	4.195789674
328	4.184821614
329	4.1834112
330	4.181940634
331	4.170578115
332	4.166166932
333	4.160327387
334	4.153773824
335	4.142346546
336	4.135803603
337	4.129381961
338	4.114492115
339	4.106832297
340	4.103385188
341	4.099188141
342	4.092623194
343	4.085316361
344	4.067658176
345	4.065469421
346	4.06156046
347	4.055563345
348	4.045080896
349	4.039183266
350	4.037836573
351	4.032179611
352	4.031270179
353	4.024406549
354	4.023516879
355	4.022685602
356	4.021830188
357	4.02061505
358	4.014101753
359	4.005808474
360	3.997736761
361	3.989768366
362	3.984062178
363	3.977317818
364	3.968349324
365	3.961306132
366	3.949823413
367	3.944243554
368	3.939793978
369	3.924269666
370	3.91821896
371	3.905929858
372	3.900208679
373	3.899021398
374	3.897850846
375	3.89309103
376	3.884035422
377	3.872466408
378	3.868351836
379	3.863557249
380	3.859259964
381	3.852253381
382	3.844445074
383	3.83603173
384	3.828835749
385	3.820621997
386	3.816942143
387	3.804392099
388	3.795998804
389	3.79253146
390	3.788350701
391	3.774619275
392	3.768419159
393	3.765228372
394	3.754383445
395	3.745750452
396	3.737897079
397	3.73238937
398	3.731503764
399	3.724342606
400	3.719270851
401	3.71495734
402	3.703200824
403	3.694802617
404	3.687439664
405	3.68109974
406	3.673245497
407	3.668853937
408	3.667383375
409	3.662026358
410	3.657561023
411	3.652010553
412	3.647582678
413	3.646586056
414	3.645520367
415	3.644543715
416	3.640278108
417	3.634421804
418	3.629201334
419	3.628068762
420	3.620720958
421	3.607723856
422	3.600644003
423	3.597169026
424	3.58607601
425	3.579650043
426	3.576228922
427	3.571215883
428	3.562818342
429	3.555355151
430	3.549999079
431	3.545824082
432	3.542432489
433	3.535179406
434	3.530653167
435	3.524974097
436	3.515554306
437	3.510865727
438	3.50381018
439	3.497728747
440	3.488313686
441	3.482278478
442	3.475062071
443	3.467960387
444	3.467000322
445	3.466091618
446	3.460835577
447	3.459957206
448	3.45295943
449	3.44216617
450	3.43792783
451	3.434140014
452	3.430200126
453	3.420633674
454	3.411814852
455	3.40815518
456	3.407354688
457	3.402690924
458	3.397868015
459	3.39118037
460	3.387714603
461	3.38219622
462	3.377063615
463	3.376356091
464	3.366036498
465	3.358910339
466	3.354735531
467	3.353763761
468	3.350691598
469	3.350027661
470	3.345407033
471	3.336300572
472	3.335520238
473	3.331357935
474	3.326489729
475	3.321521207
476	3.316542468
477	3.311858211
478	3.306980204
479	3.303637994
480	3.299753686
481	3.298850532
482	3.293159627
483	3.289509975
484	3.280965458
485	3.273685098
486	3.27305771
487	3.26977196
488	3.262973577
489	3.256542323
490	3.248690624
491	3.243682969
492	3.237337319
493	3.231994338
494	3.22715766
495	3.222623226
496	3.22202661
497	3.214504274
498	3.208734532
499	3.201119126
500	3.19707013
501	3.193481783
502	3.18738286
503	3.18435828
504	3.178300216
505	3.171715671
506	3.168620099
507	3.1632968
508	3.157838492
509	3.154506215
510	3.147761988
511	3.143238427
512	3.133865468
513	3.131536006
514	3.127157963
515	3.125147034
516	3.117079132
517	3.115345917
518	3.108075045
519	3.105209195
520	3.100709742
521	3.094590427
522	3.087221192
523	3.085226862
524	3.080889614
525	3.07484302
526	3.07033881
527	3.069743779
528	3.068151598
529	3.067610034
530	3.064003193
531	3.059780593
532	3.054955975
533	3.049246377
534	3.044427846
535	3.039201499
536	3.035165591
537	3.034426379
538	3.027432375
539	3.026577086
540	3.023231752
541	3.020554836
542	3.018723605
543	3.010750413
544	3.010299451
545	3.003424951
546	2.998000231
547	2.993755449
548	2.989325056
549	2.984532969
550	2.983780689
551	2.982012069
552	2.977475891
553	2.970863785
554	2.964413968
555	2.958904737
556	2.954432038
557	2.954014529
558	2.953577801
559	2.946711162
560	2.942847141
561	2.939591941
562	2.932789339
563	2.929476778
564	2.925571798
565	2.92141648
566	2.917830821
567	2.915070168
568	2.914377645
569	2.911700146
570	2.906299319
571	2.901388436
572	2.895876185
573	2.893508154
574	2.893070245
575	2.888608834
576	2.884754763
577	2.884370853
578	2.878140111
579	2.874254916
580	2.870509983
581	2.866906088
582	2.85954142
583	2.859167042
584	2.852929665
585	2.852562713
586	2.846963862
587	2.839922722
588	2.833941788
589	2.833584033
590	2.830218665
591	2.826946933
592	2.819825798
593	2.818062376
594	2.815537205
595	2.81491849
596	2.809556611
597	2.805207842
598	2.8001291
599	2.793845343
600	2.7902025
601	2.789853865
602	2.785366308
603	2.778826468
604	2.776327405
605	2.775652148
606	2.770083679
607	2.761654482
608	2.759762467
609	2.754687797
610	2.748954413
611	2.745535952
612	2.741284595
613	2.736242609
614	2.731203577
615	2.730776002
616	2.724698067
617	2.724064475
618	2.719901588
619	2.715467366
620	2.710860722
621	2.710447153
622	2.708494375
623	2.707859125
624	2.704173604
625	2.702624938
626	2.69678466
627	2.694220109
628	2.689812753
629	2.689249856
630	2.683918325
631	2.683374344
632	2.67927619
633	2.675568747
634	2.675225884
635	2.674869363
636	2.672736183
637	2.669965602
638	2.664927265
639	2.659733127
640	2.655208902
641	2.651226909
642	2.646147096
643	2.644765897
644	2.640524018
645	2.636922345
646	2.630919029
647	2.630554202
648	2.629495323
649	2.625452489
650	2.621262785
651	2.614818644
652	2.607797973
653	2.600574515
654	2.600246708
655	2.594611876
656	2.590392545
657	2.588550685
658	2.586154712
659	2.585698748
660	2.579683028
661	2.57646019
662	2.573715976
663	2.57045042
664	2.570115926
665	2.564433096
666	2.560298304
667	2.556397466
668	2.553575245
669	2.553293722
670	2.552226267
671	2.548947886
672	2.544814086
673	2.540375421
674	2.538981571
675	2.534093374
676	2.531765396
677	2.531445394
678	2.529336871
679	2.525511783
680	2.519295224
681	2.517151655
682	2.513463961
683	2.511894143
684	2.505135338
685	2.499922932
686	2.498478779
687	2.496744734
688	2.49327114
689	2.489930398
690	2.488458848
691	2.486423201
692	2.483056396
693	2.481811543
694	2.478968314
695	2.477049362
696	2.473155712
697	2.472711602
698	2.468060407
699	2.467607661
700	2.463423131
701	2.460861758
702	2.459594681
703	2.456818061
704	2.455154015
705	2.450114688
706	2.445500525
707	2.444586869
708	2.444143996
709	2.439448332
710	2.437917051
711	2.433126103
712	2.430046123
713	2.424258116
714	2.423077501
715	2.418477732
716	2.415242745
717	2.409585996
718	2.40357027
719	2.400586753
720	2.397865674
721	2.394524204
722	2.388668118
723	2.385298423
724	2.380926801
725	2.377832163
726	2.377368407
727	2.37459164
728	2.374147539
729	2.367903325
730	2.362951438
731	2.357057869
732	2.351862758
733	2.347475911
734	2.346970395
735	2.345158003
736	2.34448988
737	2.341292058
738	2.339680836
739	2.336690647
740	2.333595792
741	2.331732588
742	2.329335511
743	2.326362508
744	2.325093731
745	2.321356747
746	2.319159917
747	2.314698106
748	2.309294574
749	2.306853825
750	2.305333118
751	2.300756224
752	2.296816595
753	2.293639054
754	2.287557403
755	2.284769378
756	2.281316579
757	2.280969073
758	2.275722997
759	2.273495649
760	2.271534921
761	2.267782537
762	2.264548922
763	2.262709975
764	2.259257265
765	2.25645723
766	2.253830769
767	2.253412632
768	2.250387525
769	2.247775305
770	2.244987024
771	2.244645353
772	2.244410562
773	2.239382759
774	2.235201189
775	2.231179258
776	2.22787342
777	2.224086012
778	2.219566447
779	2.216744078
780	2.211811797
781	2.208003882
782	2.202580899
783	2.201392433
784	2.19743687
785	2.194196865
786	2.189987393
787	2.189665945
788	2.188326776
789	2.186584159
790	2.18408918
791	2.180561947
792	2.179371182
793	2.175093565
794	2.174512044
795	2.173313009
796	2.171024133
797	2.16726866
798	2.165330525
799	2.16002713
800	2.155750367
801	2.1529937
802	2.151630694
803	2.149893767
804	2.14759963
805	2.146008098
806	2.145738107
807	2.145453796
808	2.14484649
809	2.141167916
810	2.136138894
811	2.134554084
812	2.133341286
813	2.130119871
814	2.127569114
815	2.127293813
816	2.124903234
817	2.118102327
818	2.117109015
819	2.116840782
820	2.112953702
821	2.110035625
822	2.107570684
823	2.105546443
824	2.10399118
825	2.101469872
826	2.09866317
827	2.095718426
828	2.092889629
829	2.092570059
830	2.090795684
831	2.087051988
832	2.084401826
833	2.084239105
834	2.084068315
835	2.080520051
836	2.079546421
837	2.077524838
838	2.075402798
839	2.073555786
840	2.070465195
841	2.067530623
842	2.065661192
843	2.062768563
844	2.062341933
845	2.058241708
846	2.056070339
847	2.053749916
848	2.050040504
849	2.047483687
850	2.047297411
851	2.045249571
852	2.041030303
853	2.04085262
854	2.039976438
855	2.039822102
856	2.036763654
857	2.035297709
858	2.032582324
859	2.032439073
860	2.027362015
861	2.025516461
862	2.02438422
863	2.022049984
864	2.018958439
865	2.01630892
866	2.012312046
867	2.009651546
868	2.007989023
869	2.006835775
870	2.003737695
871	2.000516238
872	1.999820214
873	1.999289799
874	1.996307422
875	1.995315816
876	1.991234822
877	1.98711855
878	1.986826389
879	1.984938662
880	1.982960832
881	1.98038972
882	1.977604207
883	1.974839688
884	1.972684636
885	1.97149053
886	1.970023642
887	1.967986542
888	1.96615118
889	1.966007899
890	1.964118479
891	1.96022026
892	1.956029935
893	1.955815102
894	1.953156758
895	1.950930239
896	1.947483191
897	1.94637668
898	1.945568282
899	1.94351409
900	1.94325683
901	1.940461507
902	1.938297601
903	1.9381592
904	1.936797359
905	1.935764992
906	1.934833722
907	1.933564335
908	1.93048688
909	1.928701693
910	1.926499125
911	1.922164246
912	1.920953464
913	1.919186385
914	1.919059013
915	1.91894283
916	1.916107234
